additional_images,allow_backorders,attribute_set_code,base_image,categories,display_product_options_in,enable_googlecheckout,enable_qty_increments,gift_message_available,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,manage_stock,max_cart_qty,min_cart_qty,name,notify_on_stock_below,out_of_stock_qty,page_layout,price,product_online,product_type,product_websites,qty,qty_increments,rfm_app_key_apps,rfm_app_key_markets,rfm_bandwidth_mhz,rfm_bandwidth_min,rfm_bandwidth_passband,rfm_bandwidth_passband_db,rfm_bandwidth_typical,rfm_compliance_iso9001,rfm_compliance_ts16969,rfm_data_sheet,rfm_dimension,rfm_dimension_length,rfm_dimension_width,rfm_ds_date,rfm_freq,rfm_freq_slider,rfm_insertion_loss_max,rfm_insertion_loss_type,rfm_insertion_loss_typical,rfm_lid_symbol,rfm_operating_temp_max,rfm_operating_temp_min,rfm_paragraph,rfm_product_status,rfm_product_type,rfm_rohs,rfm_stock_check,rfm_technology,rfm_type_mounting,rfm_type_package,rfm_type_ship_carrier_tape,rfm_type_ship_format,rfm_type_ship_format_size,sku,small_image,swatch_image,tax_class_name,thumbnail_image,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,visibility,url_key
rfm_sm5050-8.jpg,0,RFM - SAW Filter,rfm_sm5050-8.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF1391C-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,KHz,500,1.5,dB,600,yes,Yes,rf1391c-1.pdf,5.0 x 5.0 mm,5,5,4/11/2019,433.42,433.42,5,dB,3,792,85,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RF1391C-1,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM5050-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF1391C-1,rfm_sm5050-8.jpg,rfm_sm5050-8.jpg,Taxable Goods,rfm_sm5050-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf1391c-1
rfm_sm3838-8.jpg,0,RFM - SAW Filter,rfm_sm3838-8.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF1404D,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,KHz,500,1.2,dB,600,yes,Yes,rf1404d.pdf,3.8 X 3.8 mm,3.8,3.8,4/12/2019,433.92,433.92,2.5,dB,2.3,539,125,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RF1404D,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM3838-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF1404D,rfm_sm3838-8.jpg,rfm_sm3838-8.jpg,Taxable Goods,rfm_sm3838-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf1404d
rfm_sm3838-8.jpg,0,RFM - SAW Filter,rfm_sm3838-8.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF1415D,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,KHz,800,,dB,950,yes,Yes,rf1415d.pdf,3.8 X 3.8 mm,3.8,3.8,4/12/2019,315,315,3.5,dB,2.1,538,125,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RF1415D,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM3838-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF1415D,rfm_sm3838-8.jpg,rfm_sm3838-8.jpg,Taxable Goods,rfm_sm3838-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf1415d
rfm_sm5035-4.jpg,0,RFM - SAW Filter,rfm_sm5035-4.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF3023A-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,,,,dB,,yes,Yes,ro3023a-1.pdf,5.0 X 3.5 mm,5,3.5,4/18/2019,433.97,433.97,4,dB,3,718,85,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RO3023A-1,SAW,4-Terminal Ceramic Surface Mount Package (SMP),SM5035-4,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF3023A-1,rfm_sm5035-4.jpg,rfm_sm5035-4.jpg,Taxable Goods,rfm_sm5035-4.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf3023a-1
rfm_sm3838-8.jpg,0,RFM - SAW Filter,rfm_sm3838-8.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF3396D,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,KHz,850,,dB,950,yes,Yes,rf3396d.pdf,3.8 X 3.8 mm,3.8,3.8,4/11/2019,434.42,434.42,2.5,dB,1.8,779,125,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RF3396D,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM3838-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF3396D,rfm_sm3838-8.jpg,rfm_sm3838-8.jpg,Taxable Goods,rfm_sm3838-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf3396d
rfm_sm3030-6.jpg,0,RFM - SAW Filter,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF3396E,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,KHz,850,,dB,950,yes,Yes,rf3396e.pdf,3.0 X 3.0 mm,3,3,4/12/2019,434.42,434.42,2.5,dB,1.8,781,105,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RF3396E,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF3396E,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf3396e
rfm_sm3030-6.jpg,0,RFM - SAW Filter,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RF3626E,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,KHz,850,,dB,950,yes,Yes,rf3626e.pdf,3.0 X 3.0 mm,3,3,10/15/2018,315,315,3,dB,2,5N,105,-40,Low Loss RF SAW Filter,recommended in production,Filter,Yes,RF3626E,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RF3626E,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",rf3626e
rfm_sm5035-4.jpg,0,RFM - Resonators,rfm_sm5035-4.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3073A-10,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3073a-10.pdf,5.0 X 3.5 mm,5,3.5,4/18/2019,315.05,315.05,2.2,dB,1.5,782,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3023A-1,SAW,4-Terminal Ceramic Surface Mount Package (SMP),SM5035-4,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3073A-10,rfm_sm5035-4.jpg,rfm_sm5035-4.jpg,Taxable Goods,rfm_sm5035-4.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3073a-10
rfm_sm3030-6.jpg,0,RFM - Resonators,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3073E-14,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3073e-14.pdf,3.0 X 3.0,3,3,4/18/2019,315,315,2.4,dB,1.6,908,105,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3073E-14,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3073E-14,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3073e-14
rfm_sm3030-6.jpg,0,RFM - Resonators,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3075E-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3075e-1.pdf,3.0 X 3.0,3,3,4/18/2019,345,345,2.2,dB,1.4,743,105,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3075E-1,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3075E-1,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3075e-1
rfm_sm5035-4.jpg,0,RFM - Resonators,rfm_sm5035-4.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3101A-20,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3101a-20.pdf,5.0 X 3.5,5,3.5,4/11/2019,433.92,433.92,2.2,dB,1.5,778,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3101A-20,SAW,4-Terminal Ceramic Surface Mount Package (SMP),SM5035-4,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3101A-20,rfm_sm5035-4.jpg,rfm_sm5035-4.jpg,Taxable Goods,rfm_sm5035-4.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3101a-20
rfm_sm3838-6.jpg,0,RFM - Resonators,rfm_sm3838-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3101D-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3101d-1.pdf,3.8 X 3.8,3.8,3.8,4/23/2019,433.92,433.92,2.5,dB,1.3,748,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3101D-1,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3838-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3101D-1,rfm_sm3838-6.jpg,rfm_sm3838-6.jpg,Taxable Goods,rfm_sm3838-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3101d-1
rfm_sm3030-6.jpg,0,RFM - Resonators,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3101E-4,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3101e-4.pdf,3.0 X 3.0,3,3,4/23/2019,433.86,433.86,2.2,dB,1.4,678,105,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3101E-4,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3101E-4,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3101e-4
rfm_sm5035-4.jpg,0,RFM - Resonators,rfm_sm5035-4.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3103A-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3103a-1.pdf,5.0 X 3.5,5,3.5,4/23/2019,418,418,2,dB,1.5,751,125,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3103A-1,SAW,4-Terminal Ceramic Surface Mount Package (SMP),SM5035-4,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3103A-1,rfm_sm5035-4.jpg,rfm_sm5035-4.jpg,Taxable Goods,rfm_sm5035-4.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3103a-1
rfm_sm5035-4.jpg,0,RFM - Resonators,rfm_sm5035-4.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3104A-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3104a-1.pdf,5.0 X 3.5,5,3.5,4/24/2019,303.825,303.825,2,dB,1.5,755,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3104A-1,SAW,4-Terminal Ceramic Surface Mount Package (SMP),SM5035-4,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3104A-1,rfm_sm5035-4.jpg,rfm_sm5035-4.jpg,Taxable Goods,rfm_sm5035-4.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3104a-1
rfm_sm5050-8.jpg,0,RFM - Resonators,rfm_sm5050-8.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3104C-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3104c-1.pdf,5.0 X 5.0,5,5,4/25/2019,303.825,303.825,2,dB,1.3,757,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3104C-1,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM5050-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3104C-1,rfm_sm5050-8.jpg,rfm_sm5050-8.jpg,Taxable Goods,rfm_sm5050-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3104c-1
rfm_sm3838-6.jpg,0,RFM - Resonators,rfm_sm3838-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3104D-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3104d-1.pdf,3.8 X 3.8,3.8,3.8,4/26/2019,303.825,303.825,2,dB,1.4,759,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3104D-1,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3838-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3104D-1,rfm_sm3838-6.jpg,rfm_sm3838-6.jpg,Taxable Goods,rfm_sm3838-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3104d-1
rfm_sm3030-6.jpg,0,RFM - Resonators,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3104E-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3104e-1.pdf,3.0 X 3.0,3,3,4/26/2019,303.825,303.825,2,dB,1.35,761,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3104D-1,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3104E-1,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3104e-1
rfm_sm3030-6.jpg,0,RFM - Resonators,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3118E-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3118e-1.pdf,3.0 X 3.0,3,3,4/26/2019,318,318,2.2,dB,1.6,765,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3118E-1,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3118E-1,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3118e-1
rfm_sm3030-6.jpg,0,RFM - Resonators,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3144E-3,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3144e-3.pdf,3.0 X 3.0,3,3,4/11/2019,916.65,916.65,1.6,dB,1.2,800,90,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3144E-3,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3144E-3,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3144e-3
rfm_sm5050-8.jpg,0,RFM - Resonators,rfm_sm5050-8.jpg,RFM Default Category/Products/SAW-Based Components/Resonators,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,RO3164C,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Resonator,Resonator,,,,dB,,yes,Yes,ro3164c.pdf,5.0 X 5.0,5,5,4/26/2019,868.35,868.35,2.5,dB,1.1,765,85,-40,Low Loss SAW Resonator,recommended in production,Resonator - Single Port,Yes,RO3164C,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM5050-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",RO3164C,rfm_sm5050-8.jpg,rfm_sm5050-8.jpg,Taxable Goods,rfm_sm5050-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",ro3164c
rfm_sm5050-8.jpg,0,RFM - SAW Filter,rfm_sm5050-8.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,SF2038C-1,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,Filter,,12,,dB,12.7,yes,Yes,sf2038c-1.pdf,5.0 X 5.0,5,5,4/29/2019,76.5,76.5,12.5,dB,10.8,RFM A11,85,-40,Low Loss SAW FIlter,recommended in production,Filter,Yes,SF2038C-1,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM5050-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",SF2038C-1,rfm_sm5050-8.jpg,rfm_sm5050-8.jpg,Taxable Goods,rfm_sm5050-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",sf2038c-1
rfm_sm3030-6.jpg,0,RFM - SAW Filter,rfm_sm3030-6.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,SF2316E-3,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,FIlter,,,,dB,60,yes,Yes,sf2316e-3.pdf,3.0 X 3.0,3,3,4/26/2019,1583 MHz,1583,3,dB,2,9D,105,-40,Low Loss SAW FIlter,recommended in production,Filter,Yes,SF2316E-3,SAW,6-Terminal Ceramic Surface Mount Package (SMP),SM3030-6,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",SF2316E-3,rfm_sm3030-6.jpg,rfm_sm3030-6.jpg,Taxable Goods,rfm_sm3030-6.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",sf2316e-3
rfm_sm3030-8.jpg,0,RFM - SAW Filter,rfm_sm3030-8.jpg,RFM Default Category/Products/SAW-Based Components/Filters,Block after Info Column,Yes,0,No,0,Yes,1,0,Yes,1,10000,1,SF2445E,1,0,2 columns with right bar,0.01,1,simple,wireless,999,1,Filter,FIlter,Yes,1.23,,dB,1.7,yes,Yes,sf2445e.pdf,3.0 X 3.0,3,3,10/25/2018,846 MHz,846,10.5,dB,8,9B,85,-40,Low Loss SAW Filter,recommended in production,Filter,Yes,SF2445E,SAW,8-Terminal Ceramic Surface Mount Package (SMP),SM3030-8,Tape and Reel,Tape and Reel,"7"" @ 500 Units / Reel; 13"" @ 3000 Units / Reel",SF2445E,rfm_sm3030-8.jpg,rfm_sm3030-8.jpg,Taxable Goods,rfm_sm3030-8.jpg,1,1,1,1,1,1,1,1,"Catalog, Search",sf2445e
